FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\出水口边坡\出水口边坡-锚索测力计.xlsx
FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\右岸马延坡边坡\马延坡-锚索测力计.xlsx
DATA:DP-2G14,90,所有数据误差超限
DATA:DP-2G14,91,所有数据误差超限
DATA:DP-2G14,92,所有数据误差超限
DATA:DP-2G14,93,所有数据误差超限
DATA:DP-2G14,94,所有数据误差超限
DATA:DP-2G14,95,所有数据误差超限
DATA:DP-2G14,96,所有数据误差超限
DATA:DP-2G14,97,所有数据误差超限
DATA:DP-2G14,98,所有数据误差超限
DATA:DP-2G14,99,所有数据误差超限
DATA:DP-2G14,100,所有数据误差超限
DATA:DP-2G14,101,所有数据误差超限
DATA:DP-2G14,102,所有数据误差超限
DATA:DP-2G14,103,所有数据误差超限
DATA:DP-2G14,104,所有数据误差超限
DATA:DP-2G14,105,所有数据误差超限
DATA:DP-2G14,106,所有数据误差超限
DATA:DP-2G14,107,所有数据误差超限
DATA:DP-2G14,108,所有数据误差超限
DATA:DP-2G14,109,所有数据误差超限
DATA:DP-2G14,110,所有数据误差超限
DATA:DP-2G14,111,所有数据误差超限
DATA:DP-2G14,112,所有数据误差超限
DATA:DP-2G14,113,所有数据误差超限
DATA:DP-2G14,114,所有数据误差超限
DATA:DP-2G14,115,所有数据误差超限
DATA:DP-2G14,116,所有数据误差超限
DATA:DP-2G14,117,所有数据误差超限
DATA:DP-2G14,118,所有数据误差超限
DATA:DP-2G14,119,所有数据误差超限
DATA:DP-2G14,120,所有数据误差超限
DATA:DP-2G14,121,所有数据误差超限
DATA:DP-2G14,122,所有数据误差超限
DATA:DP-2G14,123,所有数据误差超限
DATA:DP-2G14,124,所有数据误差超限
DATA:DP-2G14,125,所有数据误差超限
DATA:DP-2G14,126,所有数据误差超限
DATA:DP-2G14,127,所有数据误差超限
DATA:DP-2G14,128,所有数据误差超限
DATA:DP-2G14,129,所有数据误差超限
DATA:DP-2G14,130,所有数据误差超限
DATA:DP-2G14,131,所有数据误差超限
DATA:DP-2G14,132,所有数据误差超限
DATA:DP-2G14,133,所有数据误差超限
DATA:DP-2G14,134,所有数据误差超限
DATA:DP-2G14,135,所有数据误差超限
DATA:DP-2G14,136,所有数据误差超限
DATA:DP-2G14,137,所有数据误差超限
DATA:DP-2G14,138,所有数据误差超限
DATA:DP-2G14,139,所有数据误差超限
DATA:DP-2G14,140,所有数据误差超限
DATA:DP-2G14,141,所有数据误差超限
