FILE:2017-03-13 08:41:06,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\大坝\大坝心墙\渗压计.xls
FILE:2017-03-13 08:43:14,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\大坝\大坝心墙\渗压计.xls
DATA:P2-4,68,数据误差超限
DATA:P2-4,69,数据误差超限
DATA:P2-4,70,数据误差超限
DATA:P2-4,71,数据误差超限
DATA:P2-4,72,数据误差超限
DATA:P2-4,73,数据误差超限
DATA:P2-4,74,数据误差超限
DATA:P2-4,75,数据误差超限
DATA:P2-4,76,数据误差超限
DATA:P2-4,77,数据误差超限
DATA:P2-4,78,数据误差超限
DATA:P2-4,79,数据误差超限
DATA:P2-4,80,数据误差超限
DATA:P2-4,86,数据误差超限
DATA:P2-4,87,数据误差超限
DATA:P2-4,88,数据误差超限
DATA:P2-4,89,数据误差超限
DATA:P2-4,90,数据误差超限
DATA:P2-4,91,数据误差超限
DATA:P2-4,92,数据误差超限
DATA:P2-4,93,数据误差超限
DATA:P2-4,94,数据误差超限
DATA:P2-4,95,数据误差超限
DATA:P2-4,96,数据误差超限
DATA:P2-4,97,数据误差超限
DATA:P2-4,98,数据误差超限
DATA:P2-4,100,数据误差超限
DATA:P2-4,101,数据误差超限
DATA:P2-4,102,数据误差超限
DATA:P2-4,103,数据误差超限
DATA:P2-4,104,数据误差超限
DATA:P2-4,105,数据误差超限
DATA:P2-4,106,数据误差超限
DATA:P2-4,117,数据误差超限
DATA:P2-4,118,数据误差超限
DATA:P2-4,119,数据误差超限
DATA:P2-4,120,数据误差超限
DATA:P2-4,121,数据误差超限
DATA:P2-4,153,数据误差超限
DATA:P2-4,154,数据误差超限
DATA:P2-4,155,数据误差超限
DATA:P2-4,156,数据误差超限
DATA:P2-4,157,数据误差超限
DATA:P2-4,158,数据误差超限
DATA:P2-4,159,数据误差超限
DATA:P2-4,160,数据误差超限
DATA:P2-4,161,数据误差超限
DATA:P2-4,162,数据误差超限
DATA:P2-4,163,数据误差超限
DATA:P2-4,164,数据误差超限
DATA:P2-4,165,数据误差超限
DATA:P2-4,166,数据误差超限
DATA:P2-4,167,数据误差超限
DATA:P2-4,168,数据误差超限
DATA:P2-4,169,数据误差超限
DATA:P2-4,170,数据误差超限
DATA:P2-4,171,数据误差超限
DATA:P2-4,172,数据误差超限
DATA:P2-4,173,数据误差超限
DATA:P2-4,174,数据误差超限
DATA:P2-5,30,数据误差超限
DATA:P2-5,31,数据误差超限
DATA:P2-5,32,数据误差超限
DATA:P2-5,33,数据误差超限
DATA:P2-5,34,数据误差超限
DATA:P2-5,35,数据误差超限
DATA:P2-5,36,数据误差超限
DATA:P2-5,37,数据误差超限
DATA:P2-5,38,数据误差超限
DATA:P2-5,39,数据误差超限
DATA:P2-5,40,数据误差超限
DATA:P2-5,41,数据误差超限
DATA:P2-5,42,数据误差超限
DATA:P2-5,43,数据误差超限
DATA:P2-5,44,数据误差超限
DATA:P2-5,45,数据误差超限
DATA:P2-5,46,数据误差超限
DATA:P2-5,47,数据误差超限
DATA:P2-5,48,数据误差超限
DATA:P2-5,49,数据误差超限
DATA:P2-5,50,数据误差超限
DATA:P2-5,51,数据误差超限
DATA:P2-5,52,数据误差超限
DATA:P2-5,53,数据误差超限
DATA:P2-5,54,数据误差超限
DATA:P2-5,55,数据误差超限
DATA:P2-5,56,数据误差超限
DATA:P2-5,57,数据误差超限
DATA:P2-5,58,数据误差超限
DATA:P2-5,68,数据误差超限
DATA:P2-5,69,数据误差超限
DATA:P2-5,70,数据误差超限
DATA:P2-5,71,数据误差超限
DATA:P2-5,72,数据误差超限
DATA:P2-5,73,数据误差超限
DATA:P2-5,74,数据误差超限
DATA:P2-5,75,数据误差超限
DATA:P2-5,76,数据误差超限
DATA:P2-5,77,数据误差超限
DATA:P2-5,78,数据误差超限
DATA:P2-5,79,数据误差超限
